Gaststätte „Gliggermühle“,Ludwigstraße 7,Altrip,1732,"Fachwerkhaus, teilweise massiv, 1732",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Altrip,49.433225,8.502774
Turm im Park,Weinbietstraße,Limburgerhof,1834,"dreigeschossiger Turm mit pavillonartigem Aufsatz, hohe Rundbogenöffnungen, 1834",,49.41599,8.395939
Denkmalzone Mennonitischer Friedhof,"nördlich des Kohlhofs; Flur Im Rehfeld, Kurze Gewanne",Limburgerhof,1840,"1840 angelegt, um 1940 erweitert; schräggestellte Tafeln als Grabmäler",,49.407261,8.397383
Mennonitenkirche,Kohlhof 5,Limburgerhof,1887!1887/88,"sandsteingegliederter gründerzeitlicher Klinkerbau, bezeichnet 1887/88; mit Ausstattung",,49.405536,8.398003
Dreiseithof,Kohlhof 8,Limburgerhof,1809–11,"Dreiseithof, 1809–11; Einfirstanlage, teilweise Fachwerk; Bruchsteinscheune, teilweise Fachwerk; Gesindehaus; eineinhalbgeschossiger Stall und Remisebau",,49.40525,8.397953
Doppelwohnhaus,Kohlhof 10,Limburgerhof,1840,"Doppelwohnhaus, 1840, Fachwerk bezeichnet 1724, Erker um 1900; Fachwerkscheune",,49.404954,8.397578
Villa Denis,Rehhütte 5,Limburgerhof,1880!1880/81,"gründerzeitlicher Klinkerbau auf unregelmäßigem Grundriss, Mansardwalmdach, turmartiger Risalit mit Zeltdach, 1880/81, Garten",,49.406802,8.40801
Wohn- und Verwaltungsgebäude,Rehhütte 9,Limburgerhof,1874,"Wohn- und Verwaltungsgebäude mit Walmdach, 1874 mit älteren Teilen; Brunnentrog, bezeichnet 1845; Mühle, 18. oder 19. Jahrhundert",,49.407611,8.407276
Hofanlage,Rehhütte 19 und 13,Limburgerhof,1600!17. bis 20. Jahrhundert,"winkelförmige ehemalige Hofanlage, 17. bis 20. Jahrhundert; Fachwerkwohnhaus mit hofseitiger Galerie, 17. Jahrhundert, im 18. Jahrhundert teilweise massiv erneuert; Torfahrt am Nebengebäude wohl vor 1617; durch Umbau um 1920 einheitliches Erscheinungsbild aller Gebäude(teile) als eineinhalbgeschossige Massivbauten, teilweise Fachwerk",,49.408113,8.406532
Carl-Bosch-Haus,Carl-Bosch-Straße 16a und Hüttenmüllerstraße 31,Maxdorf,1934!1934 ff.,"Feierabendhaus und Schule der BASF-Siedlung; winkelförmige Anlage, Feierabendhaus mit Vorhalle und Uhrtürmchen, 1934 ff.",Kein Bild vorhanden,49.47661,8.286684
Grabmäler und Kriegerdenkmale,"Friedhofstraße, auf dem Friedhof",Maxdorf,1900!20. Jahrhundert,"Friedhof 1902 angelegt (ummauert, Mittelallee) 1956, 1971 und 1981 erweitert; zeittypische Grabmäler des ersten Viertels des 20. Jahrhunderts; Kriegerdenkmal 1866 und 1870/71, Obelisk mit Reichskreuz, 1902; Kriegerdenkmal 1939–45, Sandsteinskulptur, 1963 von Theobald Hauck, Maxdorf",Kein Bild vorhanden,49.480771,8.286371
Holztor,"Fußgönheimer Straße, an Nr. 1",Maxdorf,1886,"Neurenaissanceholztor, 1886",Kein Bild vorhanden,49.482055,8.294618
Dreiseithof,Hauptstraße 31,Maxdorf,1850!um 1850,"Dreiseithof, um 1850; eingeschossiges Wohnhaus, Nebengebäude und Scheune",Kein Bild vorhanden,49.482696,8.297241
Katholische Pfarrkirche St. Maximilian,Hauptstraße 75,Maxdorf,1904!1904/05,"Sandsteinquaderbau, neuromanische, neubarocke und Jugendstilmotive, 1904/05, Architekt Fritz Kunst, Karlsruhe; figürliche Fenster, Glasmalereiwerkstatt Georg Brotzler, Speyer",//commons.wikimedia.org/wiki/Category:St.-Maximilian-Kirche_(Maxdorf),49.482339,8.29169
Protestantische Johanneskirche,Hüttenmüllerstraße 35,Maxdorf,1950!1950–52,"hausartiger Baukomplexe mit Turm, 1950–52; mit Ausstattung; Hochrelief von E. Klonk, Marburg, 1956",Kein Bild vorhanden,49.476624,8.288087
Protestantisches Pfarrhaus,Lambsheimer Straße 10,Maxdorf,1914!1914–21,"Walmdachbau auf hohem gequadertem Erdgeschoss, 1914–21, Architekt Heinrich Henes, Stuttgart",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Maxdorf,49.483859,8.296558
Protestantische Pfarrkirche,Lambsheimer Straße 12,Maxdorf,1914!1914–21,"neugotische Sandsteinquaderbasilika mit achteckigen Fassadenturm und Vorhalle, 1914–21, Architekt Heinrich Henes, Stuttgart; mit Ausstattung",,49.484217,8.296572
Steinkreuz,"nördlich von Maxdorf; Distrikt Pfingstberg, Erste Gewanne",Maxdorf,1800!Ende des 18. oder Anfang des 19. Jahrhunderts,"Steinkreuz, Ende des 18. oder Anfang des 19. Jahrhunderts, Erinnerung an die Kämpfe zwischen französischen und kaiserlichen Gruppen 1795",,49.497379,8.279903
Denkmalzone Jüdischer Friedhof,Pfalzring,Mutterstadt,1889,"1889 eröffnet; zahlreiche Grabmäler, spätes 19. und 20. Jahrhundert",//commons.wikimedia.org/wiki/Category:J%C3%BCdischer_Friedhof_(Mutterstadt),49.444958,8.361391
Alter Friedhof,Friedhofstraße,Mutterstadt,1810!um 1810,"nach Auflassung des katholischen Friedhofs um 1810 angelegt, Erweiterungen 1821, 1839 und 1879, nach 1964 teilweise Einebnung und parkähnliche Umgestaltung; allseitig ummauert

Kriegerdenkmal 1870/71: Tempietto, 1882 von J. Brunner, Neustadt
Kriegerdenkmal 1914/18: skulptiert und reliefiert, 1922
Grabdenkmäler: K. Kämmerer († 1826), Obelisk; J. A. Cron († 1891): antikisierender reliefierter Sarkophag, signiert Joanni L(udwigs)hafen; A. J. Wolf († 1834), Sandsteingrabkiste; F. Bruckner († 1838), Altarblock; L. Traßß († 1868), Obelisk mit Marmorbüste; A. M. Massot († 1869?): Skulptur der Fama

",//commons.wikimedia.org/wiki/Category:Pestalozzischule_(Mutterstadt),49.445744,8.357003
Pestalozzi-Schule,Fußgönheimer Straße 17,Mutterstadt,1911!1911/12,"Walmdachbau mit zwei Anbauten, barockisierender Heimatstil, 1911/12, Architekt Bezirksbaumeister Lipps",//commons.wikimedia.org/wiki/Category:Post_(Mutterstadt),49.442803,8.350727
Kantonsgefängnis,Jahnstraße 4,Mutterstadt,1824,"ehemaliges Kantonsgefängnis; klassizistischer Walmdachbau, 1824, Architekt eventuell Bernhard Spatz, Speyer",//commons.wikimedia.org/wiki/Category:St._Medardus_(Mutterstadt),49.442834,8.357027
Wohn- und Geschäftshaus,Ludwigshafener Straße 2,Mutterstadt,1700!18. Jahrhundert,"Eckwohn- und Geschäftshaus, barocker Krüppelwalmdachbau, teilweise Fachwerk, 18. Jahrhundert",//commons.wikimedia.org/wiki/Category:Altes_Rathaus_Mutterstadt,49.442125,8.35514
Postamt,Ludwigshafener Straße 8,Mutterstadt,1927!1927/29,"klar gegliederter Putzbau, 1927/29, Architekt Heinrich Müller; straßen- und platzbildprägend",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Mutterstadt,49.442376,8.355924
Wohnhaus,Ludwigshafener Straße 12,Mutterstadt,1912,"Eckwohnhaus auf L-förmigem Grundriss, ausgebautes Mansardwalmdach, 1912",//commons.wikimedia.org/wiki/Category:Wasserturm_(Mutterstadt),49.442768,8.35623
zwei Wohnhäuser,Ludwigshafener Straße 13 und 15,Mutterstadt,1912,"zwei villenartige Wohnhäuser mit bewegten Dachlandschaften, 1912",,49.443575,8.356288
Wohnhaus,Luitpoldstraße 13,Mutterstadt,1835,"Wohnhaus und Altensitz einer Hofanlage, eingeschossiger Putzbau mit Kniestock, bezeichnet 1835",,49.443762,8.353164
Hofanlage,Luitpoldstraße 29,Mutterstadt,1758,"barocke Hofanlage; eingeschossiger Putzbau mit Kniestock und zwei Dachgeschossen, bezeichnet 1758, Nebengebäude, teilweise Fachwerk, um 1860",,49.444603,8.35308
Katholische Pfarrkirche St. Medardus,Obere Kirchstraße 14,Mutterstadt,1935,"Saalbau mit Dachreiter, nach Osten dreischiffige Halle, 1935, Architekten Albert Boßlet, Würzburg, und Karl Lochner, Ludwigshafen; freistehender Glockenturm, 1958, Architekten Emil Dietrich und Rudolf Neumann; Ausstattung des barocken Vorgängers; auf der Umfassungsmauer Sandsteinstatue, zweite Hälfte des 18. Jahrhunderts",,49.439696,8.357082
Altes Rathaus,Oggersheimer Straße 13,Mutterstadt,1738,"ehemaliges Rathaus und Betsaal; Walmdachbau, teilweise Fachwerk, Dachreiter, 1738, Umbau 1822, Architekt Johann Philipp Mattlener, Speyer; ortsbildprägend; Wappenstein bezeichnet 1568",,49.44329,8.354483
Johannes-Hoffmann-Schule,Schulstraße 8,Mutterstadt,1831!1831/32,"ehemalige Johannes-Hoffmann-Schule; dreigeschossiger klassizistischer Walmdachbau, 1831/32, Architekt Bernhard Spatz, Speyer, Aufstockung 1884",,49.441418,8.356744
Hofanlage,Schulstraße 11,Mutterstadt,1845,"Hofanlage; Wohnhaus, bezeichnet 1845, Altenteil um 1885",,49.44185,8.356441
Wohnhaus,Speyerer Straße 15/17,Mutterstadt,1790!um 1790,"ehemaliges Wohnhaus des Grafen von St. Martin; barocker Krüppelwalmdachbau, um 1790, flankiert von zweiteiligen Toranlagen",,49.441003,8.355354
Toranlage,"Untere Kirchstraße, zu Nr. 1",Mutterstadt,1773,"Toranlage einer Schmiede, 1773",,49.444019,8.354109
Reformiertes Schulhaus,Untere Kirchstraße 12,Mutterstadt,1769,"ehemaliges reformiertes Schulhaus, eingeschossiger Krüppelwalmdachbau, bezeichnet 1769",,49.444601,8.353352
Protestantische Pfarrkirche,"Untere Kirchstraße, neben Nr. 12",Mutterstadt,1517!ab 1517,"spätbarocker Saalbau, 1754/55, Architekt Franz Wilhelm Rabaliatti; drei Untergeschosse des spätgotischen Wehrturms, bezeichnet 1517 und 1518; mit Ausstattung; Orgel, 1785/86 von Johann Michael Stumm II., Rhaunen-Sulzbach",,49.444776,8.353506
Wasserturm,Waldstraße,Mutterstadt,1931!1931/32,"achtgeschossiger Betonbau mit Flachdach, 1931/32",,49.43539,8.35804
Nachtweidebrunnen,nordwestlich des Ortes; Flur Auf der Nachtweide,Mutterstadt,1700!18. Jahrhundert,"runder Gelbsandsteinbrunnen, wohl aus dem 18. Jahrhundert",,49.454562,8.331421
Denkmalzone Jüdischer Friedhof,südlich des Ortes; Flur In den Speyerer Wingert,Neuhofen (Pfalz),1900!Anfang des 20. Jahrhunderts,"Anfang des 20. Jahrhunderts angelegt, wenige Grabmäler erhalten",Kein Bild vorhanden,49.409151,8.430719
Kriegerdenkmal,"Hauptstraße, vor Nr. 7",Neuhofen (Pfalz),1934,"Kriegerdenkmal für die Gefallenen des Ersten Weltkriegs; Sandsteinkubus, drei Soldaten, 1934 wohl von Theobald Hauck, Maxdorf",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Neuhofen,49.421757,8.428842
zwei Grabmale,"Heinestraße, auf dem Friedhof",Neuhofen (Pfalz),1912!ab 1912,"Grabmal W. Eisenhauer († 1918), Marmor, darin Bronzehohlguss, 1912 von B. Klatt; Grabmal Familie K. Klamm II., antikisierende Steingussplastik, um 1915",//commons.wikimedia.org/wiki/Category:Otto-Ditscher-Haus,49.42552,8.427939
Protestantische Pfarrkirche,Kirchgässl 3,Neuhofen (Pfalz),1721,"barocker Saalbau, 1721, Umbau mit Dachturm 1843; Ausstattung",Kein Bild vorhanden,49.423707,8.428664
Kriegerdenkmal,"Kirchgässl, vor Nr. 3",Neuhofen (Pfalz),"","Kriegerdenkmal 1870/71; Germania, von Gottfried Renn, Speyer",,49.423569,8.428749
Otto-Ditscher-Haus,Ludwigshafener Straße 2,Neuhofen (Pfalz),1884,"ehemalige Schule; gründerzeitlicher sandsteingegliederter L-förmiger Backsteinbau, Walmdächer, 1884; platzbildprägend",,49.422084,8.428547
Schulhaus,Ludwigshafener Straße 5,Neuhofen (Pfalz),1860!um 1860,"ehemalige Schule; klassizistischer Walmdachbau, um 1860",,49.422585,8.428153
Wohnhaus,Ludwigshafener Straße 14,Neuhofen (Pfalz),1910,"späthistoristisches Wohnhaus, 1910, Architekt J. Frey",,49.422951,8.428207
Doppelwohnhaus,Speyerer Straße 5/7,Neuhofen (Pfalz),1755,"barockes Doppelwohnhaus mit Krüppelwalmdach, bezeichnet 1755",,49.421464,8.430017
Denkmalzone Jüdischer Friedhof,Huttenstraße,Otterstadt,1821,"1821 angelegt, 1839 und 1869 erweitert, letzte Bestattung 1936; Friedhofsmauer, Tor- und Waschhäuschen, 1869; ältere Grabsteine hebräisch, jüngere teilweise auch deutsch beschriftet",//commons.wikimedia.org/wiki/Category:Judenfriedhof_Otterstadt,49.374391,8.4477
Katholische Marienkapelle,Hochweg,Otterstadt,1850!drittes Viertel des 19. Jahrhunderts,"gotisierender Satteldachbau, drittes Viertel des 19. Jahrhunderts",Kein Bild vorhanden,49.375876,8.447346
Katholische Kapelle,"Kapellenstraße, Ecke Lindenstraße",Otterstadt,1852,"gotisierender Satteldachbau, bezeichnet 1852",//commons.wikimedia.org/wiki/Category:Mari%C3%A4_Himmelfahrt_(Otterstadt),49.371831,8.451249
Kriegerdenkmal,Luitpoldstraße,Otterstadt,1929,"Kriegerdenkmal für die Gefallenen beider Weltkriege; monumentale Soldatenskulptur, 1929 von Theobald Hauck, Maxdorf; nach 1945 erweitert",//commons.wikimedia.org/wiki/Category:Rathaus_(Otterstadt),49.372576,8.452706
Neue Grundschule,Luitpoldstraße 1,Otterstadt,1911,"Walmdachbau mit Lehrerwohnhaus und polygonalem Treppentürmchen, 1911, Architekt Michael Miller, Kaiserslautern",//commons.wikimedia.org/wiki/Category:Remigiushaus_(Otterstadt),49.372695,8.452388
1771,"Mannheimer Straße, bei Nr. 34",Otterstadt,"","drei spätbarocke Pfosten einer Toranlage, bezeichnet 1771",,49.37464,8.452711
Fassade,Mannheimer Straße 53,Otterstadt,1876,"sandsteingegliederte Putzfassade eines Wohnhauses, 1876",,49.374015,8.456243
Friedhofskreuz und Grabmäler,"Schlittweg, auf dem Friedhof",Otterstadt,1733!ab 1733,"Friedhofskreuz, bezeichnet 1885; Grabmal M. Heim († 1902), Galvanoplastik, Ende des 19. Jahrhunderts, signiert Liebhaber; zwei gusseiserne Grabkreuze von 1862 und 1869; zwei Grabsteine vom alten Friedhof, bezeichnet 1733 und 1738",,49.375217,8.44752
Katholische Pfarrkirche St. Mariä Himmelfahrt,Ringstraße 75,Otterstadt,1889!1889–91,"dreischiffige neugotische Staffelhalle, sandsteingegliederter Backsteinbau, 1889–91, Architekt Franz Schöberl, Speyer; Ausstattung; vor dem Eingang Wiederkreuz, bezeichnet 1729",,49.372433,8.453399
Rathaus,Schulstraße 15,Otterstadt,1843!1843/44,"Rotsandsteinquaderbau mit Walmdach, 1843/44, Architekt Jakob Foltz, Speyer; eingeschossige Ökonomie; ortsbildprägend",,49.371911,8.454242
Schul- und Rathaus,Schulstraße 17,Otterstadt,1827!1827/28,"ehemaliges Schul- und Rathaus; Walmdachbau, 1827/28, Architekt Bernhard Spatz, Speyer",,49.372502,8.45459
Wohnhaus,Speyerer Straße 4,Otterstadt,1884!um 1884,"eingeschossiges Wohnhaus mit Fachwerkkniestock, um 1884",,49.373505,8.455642
Wohnhaus,Speyerer Straße 11,Otterstadt,1700!erste Hälfte des 18. Jahrhunderts,"Wohnhaus, teilweise Fachwerk, erste Hälfte des 18. Jahrhunderts; platzbildprägend",,49.37364,8.456019
Remigiushaus,Speyerer Straße 18,Otterstadt,1747!1747–50,"ehemalige katholische Pfarrkirche St. Remigius, heute Teil des Gemeindezentrums; spätbarocker Saalbau mit Chorwinkelturm, 1747–50, Architekt wohl Johann Georg Stahl; ortsbildprägend",,49.372475,8.45526
Binshofer Kreuz,"Speyerer Straße, Ecke Lindenstraße",Otterstadt,1783,"Bildstock; reliefiertes Kapitell, bezeichnet 1783",,49.367988,8.449417
Bildstock,an der Nordwest-Ecke des Neubaugebietes; Flur Herdlache,Otterstadt,1783,"Bildstock, Kapitell, bezeichnet 1783, auf jüngerem Pfeiler",,49.378019,8.449442
Wohnhaus,Hauptstraße 7,Rödersheim-Gronau,1740,"anspruchsvolles barockes Wohnhaus, teilweise Fachwerk, Walmdach, bezeichnet 1732; zweiteilige Toranlage, bezeichnet 1740",Kein Bild vorhanden,49.431498,8.270343
Zwei Sühnekreuze,Pfalzgraf-Theodor-Straße,Rödersheim-Gronau,1450!ab der zweiten Hälfte des 15. Jahrhunderts,"in der Umfassungsmauer des Friedhofs zwei Sühnekreuze, roter bzw. gelber Sandstein, zweite Hälfte des 15. Jahrhunderts (?) bzw. erste Hälfte des 16. Jahrhunderts",Kein Bild vorhanden,49.432437,8.273994
Gesindehaus,Schloßstraße 2,Rödersheim-Gronau,1719,"ehemaliges Gesindehaus des Schlosses Gronau; barocker Krüppelwalmdachbau, teilweise Fachwerk (verputzt), bezeichnet 1719",Kein Bild vorhanden,49.431622,8.271571
Dreiseithof,Schloßstraße 3,Rödersheim-Gronau,1843,"Dreiseithof, 19. Jahrhundert; eineinhalbgeschossiges Wohnhaus mit Krüppelwalm, 1843",Kein Bild vorhanden,49.431567,8.272004
Protestantische Kirche,Schulstraße 2,Rödersheim-Gronau,1746!1746–53,"Saalbau mit Dachreiter, 1746–53, Architekt Franz Wurth, Mannheim; Sandsteingrabplatte, um 1720",Kein Bild vorhanden,49.430841,8.269531
Friedhofskreuz und Grabmale,"Friedhofstraße, auf dem Friedhof",Rödersheim-Gronau,1880!ab 1880,"Friedhof 1835 angelegt, 1866 und 1969 erweitert; Friedhofskreuz, bezeichnet 1880; vier Grabstätten der Rödesheimer Pfarrer; Grabmal L. Schmitt († 1917), reich ornamentierte Grabstele",Kein Bild vorhanden,49.432145,8.255937
Hakenhof,Hauptstraße 121,Rödersheim-Gronau,1864,"ehemaliger Hakenhof, 1864; eingeschossiges Wohnhaus mit Kniestock, Scheune",Kein Bild vorhanden,49.429859,8.258324
Katholisches Schwesternhaus,Hauptstraße 133,Rödersheim-Gronau,1905!1905/06,"ehemaliges katholisches Schwesternhaus; späthistoristischer sandsteingegliederter Ziegelbau, 1905/06",Kein Bild vorhanden,49.429759,8.257591
Wohnhaus,Hauptstraße 140,Rödersheim-Gronau,1750!zweite Hälfte des 18. Jahrhunderts,"spätbarockes Wohnhaus mit Krüppelwalmdach, zweite Hälfte des 18. Jahrhunderts (1776?); Torfahrt; straßenbildprägend",Kein Bild vorhanden,49.429636,8.257058
Wohnhaus,Hauptstraße 176,Rödersheim-Gronau,1880!um 1880,"großvolumiges Wohnhaus mit Gastwirtschaft, um 1880",Kein Bild vorhanden,49.430026,8.254481
Oberhof,Hauptstraße 210,Rödersheim-Gronau,1750!Mitte des 18. Jahrhunderts,"Wohnhaus, eingeschossiger Krüppelwalmdachbau, Mitte des 18. Jahrhunderts",Kein Bild vorhanden,49.429835,8.251578
Wegekreuz,"Hauptstraße, Ecke Wachenheimer Straße",Rödersheim-Gronau,1750!zweite Hälfte des 18. Jahrhunderts,"Wegekreuz, barocker Sockel, zweite Hälfte des 18. Jahrhunderts, Kreuz und Korpus von 1879",//commons.wikimedia.org/wiki/Category:St._Leo_(R%C3%B6dersheim),49.430235,8.249608
Bildstock,Meckenheimer Straße,Rödersheim-Gronau,1682,"Bildstock, Sandsteinsäule, Aufsatz mit Figurennische, bezeichnet 1682; ältester Bildstock im Landkreis",Kein Bild vorhanden,49.426359,8.250644
Katholischer Pfarrhof,Schäfergasse 4,Rödersheim-Gronau,1877,"Walmdachbau, 1877; Scheune mit Krüppelwalmdach und Nebengebäude, um 1785",Kein Bild vorhanden,49.429375,8.257471
Katholische Pfarrkirche St. Leo der Große,Schäfergasse 6,Rödersheim-Gronau,1738!1738/39,"spätbarocker Saalbau mit im Kern mittelalterlichem Fassadenturm, 1738/39, Architekt Guckert, Speyer; querhausartige Erweiterung, Sakristei und Chor 1907, Architekt Wilhelm Schulte I., Neustadt; mit Ausstattung",,49.429121,8.257314
Kruzifix,"Schäfergasse, vor Nr. 6",Rödersheim-Gronau,1869,"Kruzifix, 1869",,49.429203,8.257235
Wegekreuz,südlich des Ortes; Fur Am Hochdorfer Weg,Rödersheim-Gronau,1880,"Wegekreuz, Sandsteinkruzifix mit Metallkorpus, bezeichnet 1880",,49.423758,8.262028
Mädchenschulhaus,Berghäuser Straße 31,Römerberg (Pfalz),1900!1900/01,"ehemaliges Mädchenschulhaus; sandsteingegliegerter Putzbau mit Giebelrisalit, 1900/01",Kein Bild vorhanden,49.295793,8.410171
Gasthaus „Zum Engel“,Berghäuser Straße 36,Römerberg (Pfalz),1700!erste Hälfte des 18. Jahrhunderts,"stattlicher Fachwerkbau mit Krüppelwalmdach, erste Hälfte des 18. Jahrhunderts, barocke Torpfosten und Brunnentrog",Kein Bild vorhanden,49.295151,8.409946
Gasthaus „Zum Schwanen“,Berghäuser Straße 44,Römerberg (Pfalz),1864,"Eckhaus, 1864 unter Wiederverwendung von Teilen eines barocken Vorgängers",Kein Bild vorhanden,49.294391,8.410037
Wohnhaus,Berghäuser Straße 45,Römerberg (Pfalz),1750!um 1750,"eingeschossiges Wohnhaus, um 1750, Zwerchhaus um 1800; Pfeiler der Toranlage, 1806, einer ursprünglich bezeichnet 1747",Kein Bild vorhanden,49.294843,8.410187
Wohnhaus,Berghäuser Straße 48,Römerberg (Pfalz),1825!nach 1825,"Krüppelwalmdachbau, nach 1825, Heimatstilüberformung der 1920er Jahre",//commons.wikimedia.org/wiki/Category:Sankt_Pankratius_(Berghausen),49.294095,8.41005
Katholische Pfarrkirche St. Pankratius,Berghäuser Straße 61,Römerberg (Pfalz),1840!1840/41,"romanisierender Saalbau mit Dachturm, 1840/41, Architekt Jakob Foltz, Speyer, Erweiterung 1929, Architekt Josef Kuld, Mannheim",Kein Bild vorhanden,49.293706,8.410385
„Pfälzer Hof“,Berghäuser Straße 85,Römerberg (Pfalz),"","barocker Fachwerk-Winkelhof; Wohnhaus mit Walmdach, Anbau 1858, Mansardwalmdach-Scheune",//commons.wikimedia.org/wiki/Category:Kriegerdenkmal_(Berghausen),49.292207,8.410218
Kriegerdenkmal,"Berghäuser Straße, Ecke Große Hohl",Römerberg (Pfalz),1936,"Kriegerdenkmal für die Gefallenen beider Weltkriege; monumentale Soldatenskulptur, 1936 von Theobald Hauck, Maxdorf, nach 1945 erweitert",Kein Bild vorhanden,49.293426,8.410422
Friedhofskreuz und Grabmäler,"Friedhofstraße, auf dem Friedhof",Römerberg (Pfalz),1824!ab 1824,"Friedhofskreuz, Sockel wohl von 1824, Kreuz und Korpus aus der zweiten Hälfte des 19. Jahrhunderts; Grabmal Elisabeth Kiefer († 1917), Kunststein, Blechrelief der Beweinung Christi; Grabmal Dr. Joseph Magin († 1920), monumentaler Kalkstein-Sarkophag von A. Kuhn, Saarbrücken",Kein Bild vorhanden,49.296962,8.41116
Revolutionskreuz,"Germersheimer Straße, neben Nr. 76",Römerberg (Pfalz),1842,"Revolutionskreuz; Sandstein, Kreuz und Korpus 1842",Kein Bild vorhanden,49.29539,8.406899
Wegekreuz,"Marxenweidenweg, vor Nr. 1",Römerberg (Pfalz),1817,"Wegekreuz; Sandstein-Wiederkreuz, 1817",Kein Bild vorhanden,49.289462,8.407862
Marienbildstock,"Fahrweg, vor Nr. 10",Römerberg (Pfalz),1850!um 1850,"Marienbildstock; Marienstatue, Gips, um 1850",//commons.wikimedia.org/wiki/Category:Sankt_Sigismund_(Heiligenstein),49.283112,8.390886
Katholisches Pfarrhaus,Heiligensteiner Straße 18,Römerberg (Pfalz),1778!1778/79,"repräsentativer Walmdachbau, 1778/79",Kein Bild vorhanden,49.28417,8.396053
Schul- und Rathaus,Heiligensteiner Straße 31,Römerberg (Pfalz),1818,"ehemaliges Schul- und Rathaus; großdimensionierter Putzbau, 1818, Entwurf der bayerischen Bezirksregierung",Kein Bild vorhanden,49.284381,8.395915
Katholische Pfarrkirche St. Sigismund,Heiligensteiner Straße 37,Römerberg (Pfalz),1778!1778/79,"Saalbau, 1778/79, Architekt Werkmeister Zotterer, Speyer; mit Ausstattung",Kein Bild vorhanden,49.284782,8.396341
Friedhofskreuz,"Heiligensteiner Straße, neben Nr. 37",Römerberg (Pfalz),1760,"ehemaliges Friedhofskreuz, bezeichnet 1760",Kein Bild vorhanden,49.284715,8.396187
Wohnhaus,Heiligensteiner Straße 38,Römerberg (Pfalz),1803,"Wohnhaus, nachbarocker Krüppelwalmdachbau, teilweise verputztes Fachwerk, bezeichnet 1803",Kein Bild vorhanden,49.28557,8.397451
Wohnhaus,Heiligensteiner Straße 43,Römerberg (Pfalz),1844,"eineinhalbgeschossiges Wohnhaus, 1844",Kein Bild vorhanden,49.28504,8.396619
Gaststätte „Zum Rebstöckel“,Heiligensteiner Straße 45,Römerberg (Pfalz),1700!18. Jahrhundert,"ehemaliges Wohnhaus, im Kern aus dem 18. Jahrhundert, Heimatstilüberformung in den 1920er Jahren",Kein Bild vorhanden,49.285158,8.396748
Fachwerkhaus,Heiligensteiner Straße 57,Römerberg (Pfalz),1703,"stattliches Fachwerkwohnhaus, angeblich von 1703; Toranlage",Kein Bild vorhanden,49.285889,8.397539
Wegekreuz,"Heiligensteiner Straße, Ecke Kirchenweg",Römerberg (Pfalz),1816,"Wegekreuz, Sandstein, 1816, Kreuz und Korpus 1948 erneuert",//commons.wikimedia.org/wiki/Category:Sankt_Laurentius_(Mechtersheim),49.287361,8.399319
Marienkapelle,Kirchenweg,Römerberg (Pfalz),1860!um 1860,"Marienkapelle; Satteldachbau mit Figurennische, um 1860; innen Marienbildstock, 1720, Pietà, wohl um 1700",Kein Bild vorhanden,49.287439,8.399878
Kriegerdenkmal,Lingenfelder Straße,Römerberg (Pfalz),1937,"Kriegerdenkmal 1914/18, 1937 von Ludwig Kern, Speyer, nach 1945 erweitert",Kein Bild vorhanden,49.283137,8.393999
Friedhofskreuz und Grabmale,"nordwestlich des Ortes, auf dem Friedhof; Flur Rechts am Mühlweg",Römerberg (Pfalz),1830!ab 1830,"Friedhofskreuz, wohl um 1830; Grabmal G. Koch († 1860), Grabmal M. S. Koch († 1863), Grabmal M. Koch († 1865): alle drei Sandstein, neugotisch",//commons.wikimedia.org/wiki/Category:Friedenskirche_(Mechtersheim),49.287746,8.39266
Katholische Kirche St. Laurentius,Holzgasse,Römerberg (Pfalz),1892!1892/93,"neugotischer Saalbau, gelber Blankziegelbau, 1892/93, Architekt Ferdinand Bernatz, Speyer; mit Ausstattung",,49.265675,8.399996
Hofanwesen,Lindenplatz 1/2,Römerberg (Pfalz),1792,"Hofanwesen, im Kern barock; eingeschossiges Wohnhaus, 1792; Langscheune gemeinsam mit Philippsburger Straße 7/9, Bruchsteinbau, Mansarddach, Mitte des 18. Jahrhunderts",,49.264564,8.399792
Hofanlage,Mechtersheimer Straße 42,Römerberg (Pfalz),1864,"weitläufige Hofanlage; Wohnhaus 1864, Stallungen mit Drempel, 1858, Scheune, Mitte des 18. Jahrhunderts",,49.265021,8.39858
Hofanlage,Philippsburger Straße 7/9,Römerberg (Pfalz),1792,"barocke Hofanlage; Krüppelwalmdachbau 1792, Langscheune gemeinsam mit Lindenplatz 1/2, Bruchsteinbau, Mansarddach, Mitte des 18. Jahrhunderts",,49.264317,8.399882
Protestantische Pfarrkirche,Schwegenheimer Straße 3,Römerberg (Pfalz),1877!1877–79,"barockisierender Saalbau, 1877–79, Architekt Heinrich Jester, Speyer",,49.265512,8.397973
Denkmalzone Jüdischer Friedhof,Neustückweg,Schifferstadt,1907,"1907 angelegt, 1938 zerstört; vier Grabsteine",//commons.wikimedia.org/wiki/Category:J%C3%BCdischer_Friedhof_(Schifferstadt),49.373937,8.375488
