,,,,,,,,
Denkmalzone 1920er-Jahre-Siedlung Gustav-Pfarrius-Straße,"Gustav-Pfarrius-Straße 14–30 (gerade Nummern), 17–37 (ungerade Nummern), Ringstraße 102–110 (gerade Nummern), Jean-Winckler-Straße 2–20 (gerade Nummern), Röntgenstraße 20–24 (gerade Nummern), 25–35 (ungerade Nummern)",der Kernstadt von Bad Kreuznach,1925!1925/26,"seit 1897 erstellter Gebäudekomplex im Park, gotisierende Sandstein- und Backsteinbauten (erster Bauabschnitt), Architekt Friedrich Langenbach, Barmen; 1912-54 angepasste Ergänzungsbauten, Architekt Willibald Hamburger[2]",Kein Bild vorhanden,nope,nope,
Wohn- und Geschäftshaus,Mannheimer Straße 62,der Kernstadt von Bad Kreuznach,1671,"viergeschossiges Wohn- und Geschäftshaus, teilweise Fachwerk (verputzt), zweite Hälfte des 18. Jahrhunderts; Keller vor 1689",Kein Bild vorhanden,49.845698,7.855974,
Wohn- und Geschäftshaus,Mannheimer Straße 64,der Kernstadt von Bad Kreuznach,1750!zweite Hälfte des 18. Jahrhunderts,"dreigeschossige verputzte Fachwerkbauten mit Mansarddächern, Umbau im 19. und 20. Jahrhundert",Kein Bild vorhanden,49.845663,7.856041,
Wohn- und Geschäftshaus,Mannheimer Straße 66,der Kernstadt von Bad Kreuznach,,"viergeschossiges Fachwerkhaus (verkleidet), 18. Jahrhundert",Kein Bild vorhanden,49.845621,7.856116,
Fachwerkhaus,Mannheimer Straße 68,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"Krüppelwalmdachbau, teilweise Fachwerk verputzt und verschiefert, im Kern vor 1618; rückwärtig viergeschossiger Querbau mit Treppengiebeln, 1933 ff., Architekt Fr. K. Rheinstädter",Kein Bild vorhanden,49.845581,7.856187,
Brückenhaus,Mannheimer Straße 69/71,der Kernstadt von Bad Kreuznach,1618!vor 1618,"dreigeschossiges Wohn- und Geschäftshaus, teilweise Zierfachwerk, um 1600, Mansarddach um 1700; Mühlenstraße 2 gleichzeitig",Kein Bild vorhanden,49.84492,7.857493,
Wohn- und Geschäftshaus,"Mannheimer Straße 77, Mühlenstraße 2",der Kernstadt von Bad Kreuznach,1600!um 1600,"dreigeschossiges Zeilenwohn- und Geschäftshaus, wohl nach 1689, Klinkerfassade 1895, Architekt Fr. K. Rheinstädter; Keller älter",Kein Bild vorhanden,49.844375,7.858586,
Wohn- und Geschäftshaus,Mannheimer Straße 78,der Kernstadt von Bad Kreuznach,1689!nach 1689,"zwei- und dreigeschossiges Wohn- und Geschäftshaus, anspruchsvoller Neurenaissancebau, 1903, Architekt Hans Best",Kein Bild vorhanden,49.84538,7.856449,
Schwanenapotheke,"Mannheimer Straße 88, Kurhausstraße 1",der Kernstadt von Bad Kreuznach,1903,"Wohn- und Geschäftshaus mit Mansarddach, 1829",Kein Bild vorhanden,49.844925,7.857279,
Brückenhaus,Mannheimer Straße 90,der Kernstadt von Bad Kreuznach,1829,"viergeschossiges Wohn- und Geschäftshaus, anspruchsvoller späthistoristischer Putzbau, 1903, Architekt Kaspar Bauer; Keller älter",Kein Bild vorhanden,49.844859,7.857409,
Wohn- und Geschäftshaus,Mannheimer Straße 91,der Kernstadt von Bad Kreuznach,1903,"zwei- und viergeschossiger Putzbau, im Kern von 1595, Erweiterung 1867, Überformung 1890, Architekt Wilhelm Metzger",Kein Bild vorhanden,49.844085,7.859086,
Brückenhaus,Mannheimer Straße 92,der Kernstadt von Bad Kreuznach,1595,"dreigeschossiger Fachwerkbau, verputzt und verschiefert, 1609",Kein Bild vorhanden,49.844748,7.857629,
Brückenhaus,Mannheimer Straße 94,der Kernstadt von Bad Kreuznach,1609,"breitgelagerter verputzter Fachwerkbau, 1612",Kein Bild vorhanden,49.844664,7.857793,
Brückenhaus,Mannheimer Straße 96,der Kernstadt von Bad Kreuznach,1612,"Zeilenwohn- und Geschäftshaus, barocker Mansarddachbau, 18. Jahrhundert",Kein Bild vorhanden,49.844554,7.857964,
Wohn- und Geschäftshaus,Mannheimer Straße 99,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"Zeilenwohn- und Geschäftshaus, barocker Mansarddachbau, 18. Jahrhundert",Kein Bild vorhanden,49.843898,7.859399,
Wohn- und Geschäftshaus,Mannheimer Straße 101,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,Bronzeplakette mit Büstenbild von Feldmarschall Gebhard Leberecht von Blücher,Kein Bild vorhanden,49.843835,7.859496,
Plakette,"Mannheimer Straße, an Nr. 114",der Kernstadt von Bad Kreuznach,,"dreigeschossiger Backsteinbau mit Mansardwalmdach, Neurenaissance, 1883, Architekt Heinrich Ruppert",Kein Bild vorhanden,49.843844,7.859238,
Einhornapotheke,Mannheimer Straße 128,der Kernstadt von Bad Kreuznach,1883,"viergeschossiges Eckwohn- und Geschäftshaus, Neurenaissance- und Jugendstilmotive, 1905/06, Architekt Hans Best",Kein Bild vorhanden,49.843517,7.859779,
Wohn- und Geschäftshaus,Mannheimer Straße 130,der Kernstadt von Bad Kreuznach,1905!1905/06,"achsensymmetrisches Doppelwohn- und Geschäftshaus, gründerzeitlicher Klinkerbau mit Mansardwalmdach, 1896/97, Architekt Heinrich Ruppert",Kein Bild vorhanden,49.843426,7.859939,
Wohn- und Geschäftshaus,Mannheimer Straße 198/198a,der Kernstadt von Bad Kreuznach,1896!1896/97,"Eckwohnhaus, Backsteinbau, Neurenaissancemotive, 1889/90, Architekt Heinrich Ruppert",Kein Bild vorhanden,49.840539,7.864231,
Wohnhaus,Mannheimer Straße 209,der Kernstadt von Bad Kreuznach,1889!1889/90,"dreigeschossiges Eckwohn- und Geschäftshaus, Backsteinbau mit Mansardwalmdach, Neurenaissance, 1898, Architekt Wilhelm Metzger",Kein Bild vorhanden,49.838996,7.866208,
Wohn- und Geschäftshaus,Mannheimer Straße 230,der Kernstadt von Bad Kreuznach,1898,"dreigeschossiges Wohnhaus, Klinkerbau mit Mansarddach, Neurenaissancemotive, 1900/01, Architekt Wilhelm Metzger",Kein Bild vorhanden,49.838697,7.866233,
Wohnhaus,Mannheimer Straße 232/232a,der Kernstadt von Bad Kreuznach,1900!1900/01,"dreigeschossiges Zeilenwohnhaus, Klinkerbau, Neurenaissance, 1899, Architekt Wilhelm Metzger",Kein Bild vorhanden,49.838605,7.866331,
Wohnhaus,Mannheimer Straße 240,der Kernstadt von Bad Kreuznach,1899,"villenartiges Wohnhaus, Mansarddachbau, Neurenaissance, 1900, Architekt wohl Hermann Herter",Kein Bild vorhanden,49.838175,7.866801,
Wohnhaus,Mannheimer Straße 254,der Kernstadt von Bad Kreuznach,1900,"villenartiges Wohnhaus, Mansardwalmdachbau, Neurenaissancemotive, 1902/03, Architekt Hermann Herter",Kein Bild vorhanden,49.837329,7.867714,
Wohnhaus,Mannheimer Straße 256,der Kernstadt von Bad Kreuznach,1902!1902/03,"Doppelwohnhaus mit Krüppelwalmdach, klassizistische, Heimatstil- und Art-Déco-Motive, 1921/22, Architekt Wilhelm Koban, Darmstadt",Kein Bild vorhanden,49.837176,7.867861,
Wohnhaus,"Manteuffelstraße 1, Prinz-Friedrich-Karl-Straße 2",der Kernstadt von Bad Kreuznach,1921!1921/22,"herrschaftliche Villa, neubarocker Walmdachbau, 1925/26, Architekt Richard Starig; tempelartige Garage, Gartenhäuschen",Kein Bild vorhanden,49.833059,7.850488,
Villa,Manteuffelstraße 3,der Kernstadt von Bad Kreuznach,1925!1925/26,"zweieinhalbgeschossiges Eckwohnhaus, Backsteinbau mit Putzflächen, 1903, Architekt August Henke & Sohn; Pferdestall, eingeschossiger Walmdachbau, 1904",Kein Bild vorhanden,49.832796,7.850818,
Wohnhaus,Mathildenstraße 1,der Kernstadt von Bad Kreuznach,1903,"Winkelbau mit Mansarddach, um 1780; am Südrisalit Fragmente des spätmittelalterlicher Vorgängers",Kein Bild vorhanden,49.845017,7.864631,
Weingut Herf,Matthäushof 2,der Kernstadt von Bad Kreuznach,1780!um 1780,"im Kern barockes Doppelhaus, teilweise Fachwerk (verputzt), Umbau um 1800",Kein Bild vorhanden,49.848379,7.85642,
Wohnhaus,Metzgergasse 12,der Kernstadt von Bad Kreuznach,,"Wohnhaus, teilweise Fachwerk, 17. oder 18. Jahrhundert",Kein Bild vorhanden,49.846923,7.854538,
Wohnhaus,Metzgergasse 16,der Kernstadt von Bad Kreuznach,1600!17. oder 18. Jahrhundert,"Doppelwohnhaus mit Walmdach, Art-Déco-Motive, 1925, Architekt Düttermann",Kein Bild vorhanden,49.846891,7.854392,
Wohnhaus,Mittlerer Flurweg 2/4,der Kernstadt von Bad Kreuznach,1925,"Doppelwohnhaus mit Walmdach, Art-Déco-Motive, 1925, Architekt Düttermann",Kein Bild vorhanden,49.835357,7.868853,
Wohnhaus,Mittlerer Flurweg 6/8,der Kernstadt von Bad Kreuznach,1925,"Doppelwohnhaus mit Walmdach, Art-Déco-Motive, 1925, Architekt Düttermann",Kein Bild vorhanden,49.835079,7.868928,
Wohnhaus,Mittlerer Flurweg 18/20,der Kernstadt von Bad Kreuznach,1925,"langgestrecktes Eckwohnhaus mit Walmdach, 1930/31, Architekt Karl Heep",Kein Bild vorhanden,49.834062,7.869245,
Wohnhaus,"Mittlerer Flurweg 30/32, Rheinstraße 16",der Kernstadt von Bad Kreuznach,1930!1930/31,"Villa, kubischer Walmdachbau, 1913/14, Architekt Hans Best, neuklassizistischer Vorbau 1939",Kein Bild vorhanden,49.832893,7.869875,
Villa,Moltkestraße 3,der Kernstadt von Bad Kreuznach,1913!1913/14,"Walmdach-Villa, Freitreppe, 1914/15, Architekt Willibald Hamburger",Kein Bild vorhanden,49.833907,7.852165,
Villa,Moltkestraße 6,der Kernstadt von Bad Kreuznach,1914!1914/15,"dreigeschossiges Wohn- und Geschäftshaus, späthistoristischer Zweispänner, 1881/82, Architekt R. Wagner",Kein Bild vorhanden,49.833774,7.851531,
Wohn- und Geschäftshaus,Mühlenstraße 5,der Kernstadt von Bad Kreuznach,1881!1881/82,"Wohn- und Geschäftshaus, im Kern angeblich um 1600, Ladeneinbau Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.844626,7.858623,
Wohn- und Geschäftshaus,Mühlenstraße 7,der Kernstadt von Bad Kreuznach,1600!um 1600,"dreigeschossiges Wohn- und Geschäftshaus, teilweise Fachwerk, (verputzt), 18. Jahrhundert",Kein Bild vorhanden,49.844688,7.858684,
Wohn- und Geschäftshaus,Mühlenstraße 8,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"langgestrecktes Wohn- und Gasthaus, Umbau mit neuklassizistischen Motiven, 1897, Architekten Gebrüder Lang",Kein Bild vorhanden,49.844673,7.858843,
Wohn- und Gasthaus,Mühlenstraße 10,der Kernstadt von Bad Kreuznach,,"langgestrecktes Wohn- und Geschäftshaus, wohl um 1800, Ladeneinbauten 19. Jahrhundert",Kein Bild vorhanden,49.844769,7.858954,
Wohn- und Geschäftshaus,Mühlenstraße 11,der Kernstadt von Bad Kreuznach,1800!um 1800,"Mansarddachbau, teilweise Fachwerk (verputzt), Mitte des 18. Jahrhunderts[17]",Kein Bild vorhanden,49.844782,7.858792,
Mehlwaage,Mühlenstraße 21,der Kernstadt von Bad Kreuznach,1750!Mitte des 18. Jahrhunderts,"dreigeschossiger Gebäudekomplex, bezeichnet 1816, teilweise Ausbau 1898/99, Umbau 1942/43, Architekt Max Weber",Kein Bild vorhanden,49845,7.859158,
Tress’sche Mühle,"Mühlenstraße 23/25, 32/34",der Kernstadt von Bad Kreuznach,1816,"Dreifensterhaus, Backsteinbau, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.845191,7.85958,
Wohnhaus,Mühlenstraße 33,der Kernstadt von Bad Kreuznach,1850!zweite Hälfte des 19. Jahrhunderts,"ehemalige Reichsbank; dreigeschossiger Eckbau, repräsentativer barockisierender Sandsteinquaderbau mit Mansardwalmdach, 1901/02, Architekten Curjel und Moser, Karlsruhe",Kein Bild vorhanden,49.845514,7.860047,
Bankgebäude,Mühlenstraße 37,der Kernstadt von Bad Kreuznach,1901!1901/02,"ehemalige Möbelfabrik und Tischlerei der Gebrüder Holz; großvolumiger dreigeschossiger Backsteinbau mit Walmdach, um 1880",Kein Bild vorhanden,49.845908,7.860541,
Fabrikgebäude,Mühlenstraße 78,der Kernstadt von Bad Kreuznach,1880!um 1880,"anspruchsvoller Backsteinbau, Neurenaissance, 1891/92, Architekt Philipp Hassinger",Kein Bild vorhanden,49.847494,7.86348,
Wohnhaus,Mühlenstraße 84,der Kernstadt von Bad Kreuznach,1891!1891/92,"dreiteiliger Walmdachbau mit dreigeschossigem Mittelteil, 1912/13, Architekt Hugo Völker",Kein Bild vorhanden,49.847661,7.86375,
Hotel Quellenhof,Nachtigallenweg 2,der Kernstadt von Bad Kreuznach,1912!1912/13,"gusssteingegliederter Walmdachbau, 1930/31, Architekt Hans Best & Co",Kein Bild vorhanden,49.838423,7.851118,
Villa,Neufelder Weg 65,der Kernstadt von Bad Kreuznach,1930!1930/31,"villenartiges Wohnhaus auf L-förmigem Grundriss, Walmdach, 1920er Jahre",Kein Bild vorhanden,49.833009,7.863363,
Wohnhaus,Neufelder Weg 67,der Kernstadt von Bad Kreuznach,1920!1920er Jahre,"imposante Walmdach-Villa, 1929, Architekt Hans Best",Kein Bild vorhanden,49.832925,7.863101,
Villa,Neufelder Weg 79,der Kernstadt von Bad Kreuznach,1929,"großvolumiges dreigeschossiges Wohnhaus mit rückwärtigem Anbau, klassizistische Motive, 1876/77, Architekt J. Lang",Kein Bild vorhanden,49.832647,7.860936,
Wohnhaus,Oranienstraße 3,der Kernstadt von Bad Kreuznach,1876/!1876/77,"Gründerzeit-Villa, teilweise Fachwerk, 1903/04, Architekt Peter Kreuz",Kein Bild vorhanden,49.838142,7.853264,
Villa,Oranienstraße 4a,der Kernstadt von Bad Kreuznach,1903!1903/04,"dreigeschossige Doppelvilla mit Walmdach, Neurenaissancemotive, 1902/03, Architekt Peter Kreuz",Kein Bild vorhanden,49.837358,7.854386,
Villa,"Oranienstraße 7, Salinenstraße 75",der Kernstadt von Bad Kreuznach,1902!1902/03,"villenartiges Doppelwohnhaus mit Walmdach, Jugendstil-Motive, 1905/06, Architekt Peter Kreuz",Kein Bild vorhanden,49.837499,7.854559,
Wohnhaus,Oranienstraße 10/12,der Kernstadt von Bad Kreuznach,1905!1905/06,"villenartiges Doppelwohnhaus, Klinkerbau mit Walmdach, Neurenaissance, 1903/04, Architekt Peter Kreuz",//commons.wikimedia.org/wiki/Category:St._Nikolaus_(Bad_Kreuznach),49.836955,7.8549,
Wohnhaus,Oranienstraße 13/15,der Kernstadt von Bad Kreuznach,1903!1903/04,"aufwändige landhausartige Villa, 1906, Architekt Peter Kreuz",Kein Bild vorhanden,49.837086,7.855049,
Villa,Oranienstraße 14,der Kernstadt von Bad Kreuznach,1906,"villenartiges Wohnhaus mit Walmdach, Neurenaissance- und Jugendstil-Motive, 1905/06, Architekt Peter Kreuz",Kein Bild vorhanden,49.836748,7.85513,
Wohnhaus,Oranienstraße 17,der Kernstadt von Bad Kreuznach,1905!1905/06,"villenartiges Wohnhaus mit bewegter Dachlandschaft, Neurenaissancemotive, 1904/05, Architekt Peter Kreuz (?)",Kein Bild vorhanden,49.836936,7.855243,
Wohnhaus,Oranienstraße 19,der Kernstadt von Bad Kreuznach,1904!1904/05,"eingeschossige Mansarddachbauten, 1925/26, Architekt Karl Heep",Kein Bild vorhanden,49.836864,7.855328,
Wohnhäuser,"Pestalozzistraße 4, 6, 8",der Kernstadt von Bad Kreuznach,1925!1925/26,"eingeschossige Villa, teilweise abgewalmtes Mansarddach, 1926/27, Architekt Martin Au",Kein Bild vorhanden,49.83663,7.866949,
Villa,Pestalozzistraße 5,der Kernstadt von Bad Kreuznach,1926!1926/27,"villenartiges Wohnhaus mit Walmdach, 1926, Architekt Peter Riedle",Kein Bild vorhanden,49.836557,7.867299,
Wohnhaus,Pestalozzistraße 9,der Kernstadt von Bad Kreuznach,1926,"Wohnhaus mit Kellerei, Backsteinbau mit Walmdach, 1906/07, Architekt C. W. Kron",Kein Bild vorhanden,49.836366,7.866892,
Wohnhaus,Pfingstwiese 7/7a,der Kernstadt von Bad Kreuznach,1906!1906/07,"zweieinhalbgeschossiges Eckwohnhaus, Neurenaissancemotive, 1900/01, Architekten Gebrüder Lang",Kein Bild vorhanden,49.851142,7.866801,
Wohnhaus,Philippstraße 3,der Kernstadt von Bad Kreuznach,1900!1900/01,"Eckwohnhaus, Gelbklinkerbau mit Walmdach, Neurenaissancemotive, 1895/96, Architekten Gebrüder Lang",Kein Bild vorhanden,49.838014,7.856674,
Wohnhaus,Philippstraße 5,der Kernstadt von Bad Kreuznach,1895!1895/96,"herrschaftliche Villa mit Mansardwalmdach, Neurenaissancemotive, 1900/01",Kein Bild vorhanden,49.837804,7.85686,
Villa,Philippstraße 6,der Kernstadt von Bad Kreuznach,1900!1900/01,"villenähnlicher Mansardwalmdachbau, Eckturm mit Loggia, Neurenaissancemotive, 1900/01, Architekt Heinrich Müller",Kein Bild vorhanden,49.837903,7.856387,
Wohnhaus,Philippstraße 8,der Kernstadt von Bad Kreuznach,1900!1900/01,"Wohnhaus, Klinkerbau mit Walmdach, Neurenaissancemotive, 1906/07, Architekt Friedrich Metzger",Kein Bild vorhanden,49.837681,7.856642,
Wohnhaus,Philippstraße 9,der Kernstadt von Bad Kreuznach,1906!1906/07,"villenartiges Wohnhaus, anspruchsvoller Mansardwalmdachbau, Neurenaissancemotive, bezeichnet 1902, Architekt wohl Heinrich Müller",Kein Bild vorhanden,49.837566,7.85715,
Wohnhaus,Philippstraße 10,der Kernstadt von Bad Kreuznach,1902,"spätklassizistischer Porphyrquaderbau mit Walmdach, 1870",,49.837575,7.856811,
Grundschule Planiger Straße,Planiger Straße 4,der Kernstadt von Bad Kreuznach,1870,"dreigeschossige sandsteingegliederte Putzbauten, Neurenaissancemotive, 1908/09, Architekt Kaspar Bauer; Nr. 15 mit turmartigem Erker, 15a mit Mittelrisalit; platzbildprägend",,49.844329,7.863088,
Wohnhäuser,Planiger Straße 15/15a,der Kernstadt von Bad Kreuznach,1908!1908/09,"zweieinhalbgeschossiges Eckwohn- und Geschäftshaus mit Kellereigebäude, Klinkerbau mit Walmdach, 1896/97, Architekt August Henke",,49.844905,7.863731,
Wohn- und Geschäftshaus,Planiger Straße 27,der Kernstadt von Bad Kreuznach,1896!1896/97,"Fabrikanlage der Seitz-Ensinger-Noll-Maschinenbau AG; anspruchsvoller dreieinhalbgeschossiger neuklassizistischer Walmdachbau, 1911, Architekt Hans Best, Erweiterung 1912; eingeschossiger Shedbau, 1928/29, Architekt Erwin Hahn",,49.845345,7.865035,
Fabrikanlage,Planiger Straße 139–147,der Kernstadt von Bad Kreuznach,1911,"dreischiffige Basilika, im Wesentlichen aus dem 13. und 14. Jahrhundert, Mitte des 15. Jahrhunderts verlängert, 1713 teilweise barockisiert, 1897–1905 teilweise verändernde Renovierung mit Turm, Architekt Ludwig Becker, Mainz; mit Ausstattung; außen spätbarockes Kruzifix, 1777",,49.850145,7.876918,
Katholische Pfarrkirche St. Nikolaus,Poststraße,der Kernstadt von Bad Kreuznach,1200!13. und 14. Jahrhundert,"dreigeschossiger Renaissancebau, teilweise Zierfachwerk, Krüppelwalmdach, 1540; Ladeneinbau und Putzfassade 19. Jahrhundert",,49.846703,7.856214,
Stadtschreiberei,Poststraße 7,der Kernstadt von Bad Kreuznach,1540,"großvolumiges Wohn- und Geschäftshaus; dreigeschossiger Walmdachbau, teilweise Fachwerk (verputzt), Ladenarkaden, Mitte des 19. Jahrhunderts",,49.846787,7.856785,
Wohn- und Geschäftshaus,Poststraße 8,der Kernstadt von Bad Kreuznach,1850!Mitte des 19. Jahrhunderts,"dreigeschossiger fünfachsiger Fachwerkbau (verputzt), teilweise massiv, 18. Jahrhundert",,49.846665,7.856805,
Wohn- und Geschäftshaus,Poststraße 11,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"Zeilenwohn- und Geschäftshaus; Fachwerkbau (verputzt), wohl noch aus dem 18. Jahrhundert; Keller älter",,49.846845,7.856966,
Wohn- und Geschäftshaus,Poststraße 15,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"dreigeschossiges, zweiteiliges Wohn- und Geschäftshaus, teilweise Fachwerk; Dreifensterhaus, Mitte des 19. Jahrhunderts, Umbau und Erweiterung 1899/1900, Architekt Hans Best; Keller älter",,49.846994,7.857125,
Wohn- und Geschäftshaus,Poststraße 17,der Kernstadt von Bad Kreuznach,1850!Mitte des 19. Jahrhunderts,"dreigeschossiger Mansarddachbau, teilweise Fachwerk (verputzt), im Kern um 1573 (bezeichnet Treppenturm), Aufstockung und Erneuerung wohl im 18. Jahrhundert",,49.847063,7.857167,
Burghaus „Zum Braunshorn“,Poststraße 21,der Kernstadt von Bad Kreuznach,1573!um 1573,"repräsentative historistische Walmdach-Villa, bezeichnet 1895/96, Architekt Wilhelm Jost, Berlin",,49.847484,7.85722,
Villa,Priegerpromenade 1,der Kernstadt von Bad Kreuznach,1895!1895/96,"großvolumige Jugendstilvilla mit Motiven der Burgenarchitektur, 1906/07, Architekt Peter Kreuz",,49.836642,7.851603,
Villa,Priegerpromenade 3,der Kernstadt von Bad Kreuznach,1906!1906/07,"herrschaftliche Villa, Neurenaissance- und Jugendstil-Motive, Doppelturm-Toranlage, 1906/07, Architekt Hans Best",,49.836444,7.851431,
Villa,Priegerpromenade 7,der Kernstadt von Bad Kreuznach,1906!1906/07,"herrschaftliche landhausartige Villa, Neurenaissance- und Jugendstil-Motive, 1905, Architekt Hans Best",,49.835919,7.851233,
Villa,Priegerpromenade 9,der Kernstadt von Bad Kreuznach,1905,"herrschaftlicher dreieinhalbgeschossiger neuklassizistischer Walmdachbau, um 1870, Architekt Ludwig Bohnstedt",,49.835721,7.8511,
Logier- und Badehaus,Priegerpromenade 17,der Kernstadt von Bad Kreuznach,1870!um 1870,"imposanter zweieinhalbgeschossiger Putzbau auf asymmetrischem Grundriss, Treppenturm, um 1870",,49.832041,7.850104,
Villa Elisa,Priegerpromenade 21,der Kernstadt von Bad Kreuznach,1870!um 1870,"großformatig gegliederter Walmdachbau, 1916/17, Architekt Willibald Hamburger",,49.831589,7.849885,
Villa,Prinz-Friedrich-Karl-Straße 4,der Kernstadt von Bad Kreuznach,1916!1916/17,,,49.833212,7.850949,
Denkmalzone Kurpark,Kurhausstraße,Bad Münster am Stein-Ebernburg,1800!19. Jahrhundert,"im 19. Jahrhundert in einer Schleife der Nahe unterhalb von Burg Rheingrafenstein angelegt mit Bäder- und Kurmittelhaus, Salinenverwaltungsgebäude, Gradierwerken (Salinen), gründerzeitlicher Konzertbühne (um 1880), Bronzefigur (wohl aus den 1930er Jahren) und Wasserturm",Kein Bild vorhanden,49.809312,7.847111,
Denkmalzone Ortskern Bad Müster am Stein,Nahestraße 7–23 und 4–26,Bad Münster am Stein-Ebernburg,1600!17. bis 20. Jahrhundert,"Siedlungskern mit Bauten des 17. bis 20. Jahrhunderts, überwiegend zweigeschossige Bebauung des 18. und 19.Jahrhunderts",Kein Bild vorhanden,49.811361,7.84842,
Bahnhof Bad Münster am Stein,Berliner Straße 20,Bad Münster am Stein-Ebernburg,1900!um 1900,"eingeschossige Walmdachbauten, teilweise Fachwerk, Jugendstil, um 1900",Kein Bild vorhanden,49.813406,7.847622,
Evangelische Kirche,Berliner Straße 21,Bad Münster am Stein-Ebernburg,1907!1907/08,"Wandpfeilerbasilika in staufischen Formen, 1907/08, Architekt Otto Kuhlmann, Berlin; nach Kriegszerstörung bis 1961 wiederhergestellt; Bauplastik von Hans Lehmann-Borges, Berlin; Glasfenster von Erhard Klonk, Marburg; Kriegerdenkmal 1914/18, reliefierte Kunststeinstele, 1920er Jahre",Kein Bild vorhanden,49.812579,7.848249,
Wohnhaus,Berliner Straße 32,Bad Münster am Stein-Ebernburg,1900!um 1900,"spätgründerzeitliches Wohnhaus, um 1900",Kein Bild vorhanden,49.812214,7.847547,
Wohnhaus,Fischerhof 5,Bad Münster am Stein-Ebernburg,1500!16. Jahrhundert,"eingeschossiger Mansarddachbau, im Kern eventuell aus dem 16. Jahrhundert, im 18. Jahrhundert barock überformt",Kein Bild vorhanden,49.811678,7.848765,
Friedenseiche und Denkmal,Goetheplatz,Bad Münster am Stein-Ebernburg,1872,"Friedenseiche und Denkmal, Sandstein, bezeichnet 1872–1912",Kein Bild vorhanden,49.811143,7.847141,
Kurhaus,Goetheplatz 4/6,Bad Münster am Stein-Ebernburg,1850!drittes Viertel des 19. Jahrhunderts,"ehemaliges Kurhaus; dreigeschossiger spätklassizistischer Putzbau, drittes Viertel des 19. Jahrhunderts",Kein Bild vorhanden,49.81084,7.8466,
Fischerhäuschen,Kapitän-Lorenz-Ufer 2,Bad Münster am Stein-Ebernburg,1575!spätes 16. Jahrhundert,wohl aus dem späten 16. Jahrhundert,Kein Bild vorhanden,49.811055,7.849103,
Wohn- und Geschäftshaus,Kurhausstraße 1/3,Bad Münster am Stein-Ebernburg,1875!Ende des 19. Jahrhunderts,"zweiteiliges spätklassizistisches Wohn- und Geschäftshaus, Ende des 19. Jahrhunderts oder um 1900",Kein Bild vorhanden,49.81112,7.847377,
Fachwerkhaus,Kurhausstraße 5,Bad Münster am Stein-Ebernburg,1600!17. oder 18. Jahrhundert,"barockes Fachwerkhaus, verputzt und verschiefert, 17. oder 18. Jahrhundert",Kein Bild vorhanden,49.811172,7.847766,
Villa Schöneck,Kurhausstraße 14,Bad Münster am Stein-Ebernburg,1905!um 1905,"späthistoristischer Bau, teilweise Fachwerk, Jugendstileinfluss, um 1905",Kein Bild vorhanden,49.808563,7.84393,
Bäder- und Kurmittelhaus,"Kurhausstraße, zu Nr. 25",Bad Münster am Stein-Ebernburg,1911,"zwei- bis dreigeschossige Fachwerkbauten, barockisierender Jugendstil, 1911, Architekt Robert Muehlbach, Freiburg, unter Mitarbeit von Ackermann",Kein Bild vorhanden,49.808892,7.848189,
Salinenverwaltung,"Kurhausstraße, zu Nr. 25",Bad Münster am Stein-Ebernburg,1781,"ehemaliges Salinenverwaltungsgebäude; zweiteiliger spätbarocker Fachwerkbau, bezeichnet 1781",Kein Bild vorhanden,49.808578,7.847859,
Wasserturm,"Kurhausstraße, zu Nr. 25",Bad Münster am Stein-Ebernburg,1875!Ende des 19. Jahrhunderts,"achteckige Fachwerkkonstruktion, wohl vom Ende des 19. Jahrhunderts",Kein Bild vorhanden,49.808569,7.848216,
Villa,Kurhausstraße 41,Bad Münster am Stein-Ebernburg,1890!um 1890,"Villa, Mansarddachbau, Klinker, Neurenaissance, um 1890",Kein Bild vorhanden,49.80851,7.844332,
Hotel Central,Lindenallee 3,Bad Münster am Stein-Ebernburg,1900!um 1900,"ehemaliges Hotel Central; dreigeschossiger spätgründerzeitlicher Bau, um 1900",Kein Bild vorhanden,49.812742,7.846652,
Gasthaus,Lindenallee 11,Bad Münster am Stein-Ebernburg,1870!um 1870,"Gasthaus/Pension; spätklassizistischer Bau, um 1870",Kein Bild vorhanden,49.811638,7.847094,
Fachwerkhaus,Nahestraße 10,Bad Münster am Stein-Ebernburg,1777,"Fachwerkhaus, 1777 (?), stark restauriert",Kein Bild vorhanden,49.811409,7.84854,
Gemeindehaus und Kirchturm,Nahestraße 21,Bad Münster am Stein-Ebernburg,1435!ab 1435,"Turm der ehemaligen evangelischen Kirche St. Martin, 1435 erwähnt, seit 1911 Treppenturm des evangelischen Gemeindehauses; Gemeindehaus, malerischer Heimatstilbau, bezeichnet 1911; im Torbogen Volutenstein, 18. Jahrhundert; außen Grabstein, 1784; frühklassizistischer Gedenkstein; barockes Grabsteinfragment",Kein Bild vorhanden,49.811061,7.848068,
